Date|Day in Season|Rank|Feast|Commemorations
2025-01-24|Feria VI week II of Ordinary Time|Memorial|St. Francis de Sales, Bishop and Doctor of the Church|
2025-01-25|Sabbato week II of Ordinary Time|Feast|The Conversion of St. Paul the Apostle|
2025-01-26|Dominica III of Ordinary Time|Sunday|Dominica III of Ordinary Time|
2025-01-27|Feria II week III of Ordinary Time|Feria|Feria II week III of Ordinary Time|St. Angela Merici, Virgin
2025-01-28|Feria III week III of Ordinary Time|Memorial|St. Thomas Aquinas, Priest and Doctor of the Church|
2025-01-29|Feria IV week III of Ordinary Time|Feria|Feria IV week III of Ordinary Time|
2025-01-30|Feria V week III of Ordinary Time|Feria|Feria V week III of Ordinary Time|
2025-01-31|Feria VI week III of Ordinary Time|Memorial|St. John Bosco, Priest|
2025-02-01|Sabbato week III of Ordinary Time|Feria|Sabbato week III of Ordinary Time|BVM on Saturday
2025-02-02|Dominica IV of Ordinary Time|Feast|The Presentation of the Lord|
2025-02-03|Feria II week IV of Ordinary Time|Feria|Feria II week IV of Ordinary Time|St. Blaise, Bishop and Martyr, St. Ansgar, Bishop
2025-02-04|Feria III week IV of Ordinary Time|Feria|Feria III week IV of Ordinary Time|
2025-02-05|Feria IV week IV of Ordinary Time|Memorial|St. Agatha, Virgin and Martyr|
2025-02-06|Feria V week IV of Ordinary Time|Memorial|Ss. Paul Miki and Companions, Martyrs|
2025-02-07|Feria VI week IV of Ordinary Time|Feria|Feria VI week IV of Ordinary Time|
2025-02-08|Sabbato week IV of Ordinary Time|Feria|Sabbato week IV of Ordinary Time|St. Jerome Emiliani, Priest, St. Josephine Bakhita, Virgin, BVM on Saturday
2025-02-09|Dominica V of Ordinary Time|Sunday|Dominica V of Ordinary Time|
2025-02-10|Feria II week V of Ordinary Time|Memorial|St. Scholastica, Virgin|
2025-02-11|Feria III week V of Ordinary Time|Feria|Feria III week V of Ordinary Time|Our Lady of Lourdes
2025-02-12|Feria IV week V of Ordinary Time|Feria|Feria IV week V of Ordinary Time|
2025-02-13|Feria V week V of Ordinary Time|Feria|Feria V week V of Ordinary Time|
2025-02-14|Feria VI week V of Ordinary Time|Memorial|Ss. Cyril and Methodius, Monk and Bishop|
2025-02-15|Sabbato week V of Ordinary Time|Feria|Sabbato week V of Ordinary Time|BVM on Saturday
2025-02-16|Dominica VI of Ordinary Time|Sunday|Dominica VI of Ordinary Time|
2025-02-17|Feria II week VI of Ordinary Time|Feria|Feria II week VI of Ordinary Time|The Seven Holy Founders of the Servite Order
2025-02-18|Feria III week VI of Ordinary Time|Feria|Feria III week VI of Ordinary Time|
2025-02-19|Feria IV week VI of Ordinary Time|Feria|Feria IV week VI of Ordinary Time|
2025-02-20|Feria V week VI of Ordinary Time|Feria|Feria V week VI of Ordinary Time|
2025-02-21|Feria VI week VI of Ordinary Time|Feria|Feria VI week VI of Ordinary Time|St. Peter Damian, Bishop and Doctor of the Church
2025-02-22|Sabbato week VI of Ordinary Time|Feast|The Chair of St. Peter the Apostle|
2025-02-23|Dominica VII of Ordinary Time|Sunday|Dominica VII of Ordinary Time|
2025-02-24|Feria II week VII of Ordinary Time|Feria|Feria II week VII of Ordinary Time|
2025-02-25|Feria III week VII of Ordinary Time|Feria|Feria III week VII of Ordinary Time|
2025-02-26|Feria IV week VII of Ordinary Time|Feria|Feria IV week VII of Ordinary Time|
2025-02-27|Feria V week VII of Ordinary Time|Feria|Feria V week VII of Ordinary Time|St. Gregory of Narek, Abbot and Doctor of the Church
2025-02-28|Feria VI week VII of Ordinary Time|Feria|Feria VI week VII of Ordinary Time|
2025-03-01|Sabbato week VII of Ordinary Time|Feria|Sabbato week VII of Ordinary Time|BVM on Saturday
2025-03-02|Dominica VIII of Ordinary Time|Sunday|Dominica VIII of Ordinary Time|
2025-03-03|Feria II week VIII of Ordinary Time|Feria|Feria II week VIII of Ordinary Time|
2025-03-04|Feria III week VIII of Ordinary Time|Feria|Feria III week VIII of Ordinary Time|St. Casimir
2025-03-05|Feria IV after start of Lent|Feria|Ash Wednesday|
2025-03-06|Feria V after Ash Wednesday|Feria|Feria V after Ash Wednesday|
2025-03-07|Feria VI after Ash Wednesday|Feria|Feria VI after Ash Wednesday|Ss. Perpetua and Felicity, Martyrs
2025-03-08|Sabbato after Ash Wednesday|Feria|Sabbato after Ash Wednesday|St. John of God, Religious
2025-03-09|Dominica I of Lent|Major Sunday|Dominica I of Lent|
2025-03-10|Feria II week I of Lent|Feria|Feria II week I of Lent|
2025-03-11|Feria III week I of Lent|Feria|Feria III week I of Lent|
2025-03-12|Feria IV week I of Lent|Feria|Feria IV week I of Lent|
2025-03-13|Feria V week I of Lent|Feria|Feria V week I of Lent|
2025-03-14|Feria VI week I of Lent|Feria|Feria VI week I of Lent|
2025-03-15|Sabbato week I of Lent|Feria|Sabbato week I of Lent|
2025-03-16|Dominica II of Lent|Major Sunday|Dominica II of Lent|
2025-03-17|Feria II week II of Lent|Feria|Feria II week II of Lent|St. Patrick, Bishop
2025-03-18|Feria III week II of Lent|Feria|Feria III week II of Lent|St. Cyril of Jerusalem, Bishop and Doctor of the Church
2025-03-19|Feria IV week II of Lent|Solemnity|St. Joseph, Spouse of the Blessed Virgin Mary|
2025-03-20|Feria V week II of Lent|Feria|Feria V week II of Lent|
2025-03-21|Feria VI week II of Lent|Feria|Feria VI week II of Lent|
2025-03-22|Sabbato week II of Lent|Feria|Sabbato week II of Lent|
2025-03-23|Dominica III of Lent|Major Sunday|Dominica III of Lent|
2025-03-24|Feria II week III of Lent|Feria|Feria II week III of Lent|
2025-03-25|Feria III week III of Lent|Solemnity|The Annunciation of the Lord|
2025-03-26|Feria IV week III of Lent|Feria|Feria IV week III of Lent|
2025-03-27|Feria V week III of Lent|Feria|Feria V week III of Lent|
2025-03-28|Feria VI week III of Lent|Feria|Feria VI week III of Lent|
2025-03-29|Sabbato week III of Lent|Feria|Sabbato week III of Lent|
2025-03-30|Dominica IV of Lent|Major Sunday|Dominica IV of Lent|
2025-03-31|Feria II week IV of Lent|Feria|Feria II week IV of Lent|
2025-04-01|Feria III week IV of Lent|Feria|Feria III week IV of Lent|
2025-04-02|Feria IV week IV of Lent|Feria|Feria IV week IV of Lent|St. Francis of Paola, Hermit
2025-04-03|Feria V week IV of Lent|Feria|Feria V week IV of Lent|
2025-04-04|Feria VI week IV of Lent|Feria|Feria VI week IV of Lent|St. Isidore, Bishop and Doctor of the Church
2025-04-05|Sabbato week IV of Lent|Feria|Sabbato week IV of Lent|St. Vincent Ferrer, Priest
2025-04-06|Dominica of the Passion|Major Sunday|Dominica of the Passion|
2025-04-07|Feria II of Passion Week|Feria|Feria II of Passion Week|St. John Baptist de la Salle, Priest
2025-04-08|Feria III of Passion Week|Feria|Feria III of Passion Week|
2025-04-09|Feria IV of Passion Week|Feria|Feria IV of Passion Week|
2025-04-10|Feria V of Passion Week|Feria|Feria V of Passion Week|
2025-04-11|Feria VI of Passion Week|Feria|Feria VI of Passion Week|St. Stanislaus, Bishop and Martyr
2025-04-12|Sabbato of Passion Week|Feria|Sabbato of Passion Week|
2025-04-13|Dominica Palm Sunday|Major Sunday|Dominica Palm Sunday|
2025-04-14|Feria II of Holy Week|Feria|Feria II of Holy Week|
2025-04-15|Feria III of Holy Week|Feria|Feria III of Holy Week|
2025-04-16|Feria IV of Holy Week|Feria|Feria IV of Holy Week|
2025-04-17|Feria V of Holy Week|Feria|Feria V of Holy Week|
2025-04-18|Feria VI of Holy Week|Feria|Feria VI of Holy Week|
2025-04-19|Sabbato of Holy Week|Feria|Sabbato of Holy Week|
2025-04-20|Dominica Easter|Major Sunday|Dominica Easter|
2025-04-21|Feria II in the Octave of Easter|Feria|Feria II in the Octave of Easter|
2025-04-22|Feria III in the Octave of Easter|Feria|Feria III in the Octave of Easter|
2025-04-23|Feria IV in the Octave of Easter|Feria|Feria IV in the Octave of Easter|
2025-04-24|Feria V in the Octave of Easter|Feria|Feria V in the Octave of Easter|
2025-04-25|Feria VI in the Octave of Easter|Feria|Feria VI in the Octave of Easter|
2025-04-26|Sabbato in the Octave of Easter|Feria|Sabbato in the Octave of Easter|
2025-04-27|Dominica II of Easter|Sunday|Dominica II of Easter|
2025-04-28|Feria II week II of Eastertide|Feria|Feria II week II of Eastertide|St. Peter Chanel, Priest and Martyr, St. Louis Grignon de Montfort, Priest
2025-04-29|Feria III week II of Eastertide|Memorial|St. Catherine of Siena, Virgin and Doctor of the Church|
2025-04-30|Feria IV week II of Eastertide|Feria|Feria IV week II of Eastertide|St. Pius V, Pope
2025-05-01|Feria V week II of Eastertide|Feria|Feria V week II of Eastertide|St. Joseph the Worker
2025-05-02|Feria VI week II of Eastertide|Memorial|St. Athanasius, Bishop and Doctor of the Church|
2025-05-03|Sabbato week II of Eastertide|Feast|Ss. Philip and James, Apostles|
2025-05-04|Dominica III of Easter|Sunday|Dominica III of Easter|
2025-05-05|Feria II week III of Eastertide|Feria|Feria II week III of Eastertide|
2025-05-06|Feria III week III of Eastertide|Feria|Feria III week III of Eastertide|
2025-05-07|Feria IV week III of Eastertide|Feria|Feria IV week III of Eastertide|
2025-05-08|Feria V week III of Eastertide|Feria|Feria V week III of Eastertide|
2025-05-09|Feria VI week III of Eastertide|Feria|Feria VI week III of Eastertide|
2025-05-10|Sabbato week III of Eastertide|Feria|Sabbato week III of Eastertide|St. John of Ávila, Priest and Doctor of the Church
2025-05-11|Dominica IV of Easter|Sunday|Dominica IV of Easter|
2025-05-12|Feria II week IV of Eastertide|Feria|Feria II week IV of Eastertide|Ss. Nereus and Achilleus, Martyrs, St. Pancras, Martyr
2025-05-13|Feria III week IV of Eastertide|Feria|Feria III week IV of Eastertide|Our Lady of Fatima
2025-05-14|Feria IV week IV of Eastertide|Feast|St. Matthias, Apostle|
2025-05-15|Feria V week IV of Eastertide|Feria|Feria V week IV of Eastertide|
2025-05-16|Feria VI week IV of Eastertide|Feria|Feria VI week IV of Eastertide|
2025-05-17|Sabbato week IV of Eastertide|Feria|Sabbato week IV of Eastertide|
2025-05-18|Dominica V of Easter|Sunday|Dominica V of Easter|
2025-05-19|Feria II week V of Eastertide|Feria|Feria II week V of Eastertide|
2025-05-20|Feria III week V of Eastertide|Feria|Feria III week V of Eastertide|St. Bernardine of Siena, Priest
2025-05-21|Feria IV week V of Eastertide|Feria|Feria IV week V of Eastertide|St. Christopher Magallanes and Companions, Priest and Martyrs
2025-05-22|Feria V week V of Eastertide|Feria|Feria V week V of Eastertide|St. Rita of Cascia, Religious
2025-05-23|Feria VI week V of Eastertide|Feria|Feria VI week V of Eastertide|
2025-05-24|Sabbato week V of Eastertide|Feria|Sabbato week V of Eastertide|
2025-05-25|Dominica VI of Easter|Sunday|Dominica VI of Easter|
2025-05-26|Feria II week VI of Eastertide|Memorial|St. Philip Neri, Priest|
2025-05-27|Feria III week VI of Eastertide|Feria|Feria III week VI of Eastertide|St. Augustine of Canterbury, Bishop
2025-05-28|Feria IV week VI of Eastertide|Feria|Feria IV week VI of Eastertide|
2025-05-29|Feria V week VI of Eastertide|Solemnity|The Ascension of the Lord|
2025-05-30|Feria VI week VI of Eastertide|Feria|Feria VI week VI of Eastertide|
2025-05-31|Sabbato week VI of Eastertide|Feast|The Visitation of the Blessed Virgin Mary|
2025-06-01|Dominica VII of Easter|Sunday|Dominica VII of Easter|
2025-06-02|Feria II week VII of Eastertide|Feria|Feria II week VII of Eastertide|Ss. Marcellinus and Peter, Martyrs
