Date|Day in Season|Rank|Feast|Commemorations
2025-09-15|Feria II week XXIV of Ordinary Time|Memorial|Seven Sorrows of the Blessed Virgin Mary (Our Lady of Sorrows)|
2025-09-16|Feria III week XXIV of Ordinary Time|Memorial|Ss. Cornelius, Pope and Cyprian, Bishop, Martyrs|
2025-09-17|Feria IV week XXIV of Ordinary Time|Feria|Feria IV week XXIV of Ordinary Time|St. Robert Bellarmine, Bishop and Doctor of the Church, St. Hildegard of Bingen, Virgin and Doctor of the Church
2025-09-18|Feria V week XXIV of Ordinary Time|Feria|Feria V week XXIV of Ordinary Time|
2025-09-19|Feria VI week XXIV of Ordinary Time|Feria|Feria VI week XXIV of Ordinary Time|St. Januarius, Bishop and Martyr
2025-09-20|Sabbato week XXIV of Ordinary Time|Memorial|Ss. Andrew Kim Tae-gon, Paul Chong Ha-sang, and Companions, Priest and Martyrs|
2025-09-21|Dominica XXV of Ordinary Time|Sunday|Dominica XXV of Ordinary Time|
2025-09-22|Feria II week XXV of Ordinary Time|Feria|Feria II week XXV of Ordinary Time|
2025-09-23|Feria III week XXV of Ordinary Time|Memorial|St. Pius of Pietrelcina, Priest|
2025-09-24|Feria IV week XXV of Ordinary Time|Feria|Feria IV week XXV of Ordinary Time|
2025-09-25|Feria V week XXV of Ordinary Time|Feria|Feria V week XXV of Ordinary Time|
2025-09-26|Feria VI week XXV of Ordinary Time|Feria|Feria VI week XXV of Ordinary Time|Ss. Cosmas and Damian, Martyrs
2025-09-27|Sabbato week XXV of Ordinary Time|Memorial|St. Vincent de Paul, Priest|
2025-09-28|Dominica XXVI of Ordinary Time|Sunday|Dominica XXVI of Ordinary Time|
2025-09-29|Feria II week XXVI of Ordinary Time|Feast|Ss. Michael, Gabriel and Raphael, Archangels|
2025-09-30|Feria III week XXVI of Ordinary Time|Memorial|St. Jerome, Priest and Doctor of the Church|
2025-10-01|Feria IV week XXVI of Ordinary Time|Memorial|St. Thérèse of the Child Jesus, Virgin and Doctor of the Church|
2025-10-02|Feria V week XXVI of Ordinary Time|Memorial|The Holy Guardian Angels|
2025-10-03|Feria VI week XXVI of Ordinary Time|Feria|Feria VI week XXVI of Ordinary Time|
2025-10-04|Sabbato week XXVI of Ordinary Time|Memorial|St. Francis of Assisi, Confessor|
2025-10-05|Dominica XXVII of Ordinary Time|Sunday|Dominica XXVII of Ordinary Time|
2025-10-06|Feria II week XXVII of Ordinary Time|Feria|Feria II week XXVII of Ordinary Time|St. Bruno, Priest
2025-10-07|Feria III week XXVII of Ordinary Time|Memorial|Our Lady of the Rosary|
2025-10-08|Feria IV week XXVII of Ordinary Time|Feria|Feria IV week XXVII of Ordinary Time|
2025-10-09|Feria V week XXVII of Ordinary Time|Feria|Feria V week XXVII of Ordinary Time|St. Denis and Companions, Bishop and Martyrs, St. John Leonardi, Priest
2025-10-10|Feria VI week XXVII of Ordinary Time|Feria|Feria VI week XXVII of Ordinary Time|
2025-10-11|Sabbato week XXVII of Ordinary Time|Feria|Sabbato week XXVII of Ordinary Time|St. John XXIII, Pope, BVM on Saturday
2025-10-12|Dominica XXVIII of Ordinary Time|Sunday|Dominica XXVIII of Ordinary Time|
2025-10-13|Feria II week XXVIII of Ordinary Time|Feria|Feria II week XXVIII of Ordinary Time|
2025-10-14|Feria III week XXVIII of Ordinary Time|Feria|Feria III week XXVIII of Ordinary Time|St. Callistus I, Pope and Martyr
2025-10-15|Feria IV week XXVIII of Ordinary Time|Memorial|St. Teresa of Jesus, Virgin and Doctor of the Church|
2025-10-16|Feria V week XXVIII of Ordinary Time|Feria|Feria V week XXVIII of Ordinary Time|St. Hedwig, Religious, St. Margaret Mary Alacoque, Virgin
2025-10-17|Feria VI week XXVIII of Ordinary Time|Memorial|St. Ignatius of Antioch, Bishop and Martyr|
2025-10-18|Sabbato week XXVIII of Ordinary Time|Feast|St. Luke, Evangelist|
2025-10-19|Dominica XXIX of Ordinary Time|Sunday|Dominica XXIX of Ordinary Time|
2025-10-20|Feria II week XXIX of Ordinary Time|Feria|Feria II week XXIX of Ordinary Time|
2025-10-21|Feria III week XXIX of Ordinary Time|Feria|Feria III week XXIX of Ordinary Time|
2025-10-22|Feria IV week XXIX of Ordinary Time|Feria|Feria IV week XXIX of Ordinary Time|St. John Paul II, Pope
2025-10-23|Feria V week XXIX of Ordinary Time|Feria|Feria V week XXIX of Ordinary Time|St. John of Capistrano, Priest
2025-10-24|Feria VI week XXIX of Ordinary Time|Feria|Feria VI week XXIX of Ordinary Time|St. Anthony Mary Claret, Bishop
2025-10-25|Sabbato week XXIX of Ordinary Time|Feria|Sabbato week XXIX of Ordinary Time|BVM on Saturday
2025-10-26|Dominica XXX of Ordinary Time|Sunday|Dominica XXX of Ordinary Time|
2025-10-27|Feria II week XXX of Ordinary Time|Feria|Feria II week XXX of Ordinary Time|
2025-10-28|Feria III week XXX of Ordinary Time|Feast|Ss. Simon and Jude, Apostles|
2025-10-29|Feria IV week XXX of Ordinary Time|Feria|Feria IV week XXX of Ordinary Time|
2025-10-30|Feria V week XXX of Ordinary Time|Feria|Feria V week XXX of Ordinary Time|
2025-10-31|Feria VI week XXX of Ordinary Time|Feria|Feria VI week XXX of Ordinary Time|
2025-11-01|Sabbato week XXX of Ordinary Time|Solemnity|All Saints|
2025-11-02|Dominica XXXI of Ordinary Time|Solemnity|The Commemoration of All the Faithful Departed|
2025-11-03|Feria II week XXXI of Ordinary Time|Feria|Feria II week XXXI of Ordinary Time|St. Martin de Porres, Religious
2025-11-04|Feria III week XXXI of Ordinary Time|Memorial|St. Charles Borromeo, Bishop|
2025-11-05|Feria IV week XXXI of Ordinary Time|Feria|Feria IV week XXXI of Ordinary Time|
2025-11-06|Feria V week XXXI of Ordinary Time|Feria|Feria V week XXXI of Ordinary Time|
2025-11-07|Feria VI week XXXI of Ordinary Time|Feria|Feria VI week XXXI of Ordinary Time|
2025-11-08|Sabbato week XXXI of Ordinary Time|Feria|Sabbato week XXXI of Ordinary Time|BVM on Saturday
2025-11-09|Dominica XXXII of Ordinary Time|Sunday|Dominica XXXII of Ordinary Time|
2025-11-10|Feria II week XXXII of Ordinary Time|Memorial|St. Leo the Great, Pope and Doctor of the Church|
2025-11-11|Feria III week XXXII of Ordinary Time|Memorial|St. Martin of Tours, Bishop|
2025-11-12|Feria IV week XXXII of Ordinary Time|Memorial|St. Josaphat, Bishop and Martyr|
2025-11-13|Feria V week XXXII of Ordinary Time|Feria|Feria V week XXXII of Ordinary Time|
2025-11-14|Feria VI week XXXII of Ordinary Time|Feria|Feria VI week XXXII of Ordinary Time|
2025-11-15|Sabbato week XXXII of Ordinary Time|Feria|Sabbato week XXXII of Ordinary Time|St. Albert the Great, Bishop and Doctor of the Church, BVM on Saturday
2025-11-16|Dominica XXXIII of Ordinary Time|Sunday|Dominica XXXIII of Ordinary Time|
2025-11-17|Feria II week XXXIII of Ordinary Time|Memorial|St. Elizabeth of Hungary, Religious|
2025-11-18|Feria III week XXXIII of Ordinary Time|Feria|Feria III week XXXIII of Ordinary Time|The Dedication of the Basilicas of Ss. Peter and Paul
2025-11-19|Feria IV week XXXIII of Ordinary Time|Feria|Feria IV week XXXIII of Ordinary Time|
2025-11-20|Feria V week XXXIII of Ordinary Time|Feria|Feria V week XXXIII of Ordinary Time|
2025-11-21|Feria VI week XXXIII of Ordinary Time|Memorial|The Presentation of the Blessed Virgin Mary|
2025-11-22|Sabbato week XXXIII of Ordinary Time|Memorial|St. Cecilia, Virgin and Martyr|
2025-11-23|Dominica XXXIV of Ordinary Time|Solemnity|Our Lord Jesus Christ, King of the Universe|
2025-11-24|Feria II week XXXIV of Ordinary Time|Memorial|Ss. Andrew Dung-Lac and Companions, Priest and Martyrs|
2025-11-25|Feria III week XXXIV of Ordinary Time|Feria|Feria III week XXXIV of Ordinary Time|St. Catherine of Alexandria, Virgin and Martyr
2025-11-26|Feria IV week XXXIV of Ordinary Time|Feria|Feria IV week XXXIV of Ordinary Time|
2025-11-27|Feria V week XXXIV of Ordinary Time|Feria|Feria V week XXXIV of Ordinary Time|
2025-11-28|Feria VI week XXXIV of Ordinary Time|Feria|Feria VI week XXXIV of Ordinary Time|
2025-11-29|Sabbato week XXXIV of Ordinary Time|Feria|Sabbato week XXXIV of Ordinary Time|BVM on Saturday
